Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Activation,Firefox 61.0,\u0410\u043A\u0442\u0438\u0432\u0430\u0446\u0438\u044F \u0443\u0447\u0435\u0442\u043A\u0438,2018-08-09 16:49:15,2018-08-09 16:50:23,"1m - 8,291s",INCOMPLETE
,,,,,,
Test Cases/Base/Activation,Firefox 61.0,Активация нового пользователя,2018-08-09 16:49:15,2018-08-09 16:50:23,"1m - 7,955s",FAILED
callTestCase,Firefox 61.0,Авторизация администратором,2018-08-09 16:49:16,2018-08-09 16:49:54,"37,982s",PASSED
click,Firefox 61.0,Переход на вкладку администрирования,2018-08-09 16:49:54,2018-08-09 16:49:59,"5,294s",PASSED
click,Firefox 61.0,"Разворачивание списка пользователей для активации
",2018-08-09 16:49:59,2018-08-09 16:50:11,"11,644s",PASSED
setText,Firefox 61.0,В поле поиска пользователей вводится логин пользователя,2018-08-09 16:50:11,2018-08-09 16:50:11,"0,175s",PASSED
sendKeys,Firefox 61.0,"Выбор пользователя для активации. Клик ""Enter""",2018-08-09 16:50:11,2018-08-09 16:50:11,"0,027s",PASSED
click,Firefox 61.0,Фокусировка в поле редактирвоания рабочих групп,2018-08-09 16:50:11,2018-08-09 16:50:11,"0,257s",PASSED
click,Firefox 61.0,Включение пользователя в рабочую группу,2018-08-09 16:50:11,2018-08-09 16:50:11,"0,232s",PASSED
click,Firefox 61.0,Активация пользователя,2018-08-09 16:50:11,2018-08-09 16:50:12,"0,243s",PASSED
verifyElementPresent,Firefox 61.0,"Проверка успешной активации
",2018-08-09 16:50:12,2018-08-09 16:50:23,"11,835s",FAILED
