Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Activation,Firefox 61.0,\u0410\u043A\u0442\u0438\u0432\u0430\u0446\u0438\u044F \u0443\u0447\u0435\u0442\u043A\u0438,2018-08-16 16:29:55,2018-08-16 16:31:11,"1m - 15,302s",PASSED
,,,,,,
Test Cases/Base/Activation,Firefox 61.0,Активация нового пользователя,2018-08-16 16:29:56,2018-08-16 16:31:10,"1m - 14,740s",PASSED
callTestCase,Firefox 61.0,Авторизация администратором,2018-08-16 16:29:56,2018-08-16 16:30:26,"30,141s",PASSED
click,Firefox 61.0,Переход на вкладку администрирования,2018-08-16 16:30:26,2018-08-16 16:30:32,"5,274s",PASSED
click,Firefox 61.0,"Разворачивание списка пользователей для активации
",2018-08-16 16:30:32,2018-08-16 16:30:44,"12,239s",PASSED
setText,Firefox 61.0,В поле поиска пользователей вводится логин пользователя,2018-08-16 16:30:44,2018-08-16 16:30:44,"0,101s",PASSED
sendKeys,Firefox 61.0,Выбор активируемого пользователя,2018-08-16 16:30:44,2018-08-16 16:30:44,"0,058s",PASSED
click,Firefox 61.0,Развернуть список рабочих групп,2018-08-16 16:30:44,2018-08-16 16:30:44,"0,248s",PASSED
click,Firefox 61.0,Выбор рабочей группы,2018-08-16 16:30:44,2018-08-16 16:30:44,"0,235s",PASSED
click,Firefox 61.0,Развернуть список рабочих групп,2018-08-16 16:30:44,2018-08-16 16:30:45,"0,228s",PASSED
click,Firefox 61.0,Выбор рабочей группы,2018-08-16 16:30:45,2018-08-16 16:30:45,"0,233s",PASSED
click,Firefox 61.0,Развернуть список рабочих групп,2018-08-16 16:30:45,2018-08-16 16:30:45,"0,232s",PASSED
click,Firefox 61.0,Выбор рабочей группы,2018-08-16 16:30:45,2018-08-16 16:30:45,"0,230s",PASSED
click,Firefox 61.0,Активация пользователя,2018-08-16 16:30:45,2018-08-16 16:30:51,"5,266s",PASSED
verifyElementPresent,Firefox 61.0,"Проверка успешной активации
",2018-08-16 16:30:51,2018-08-16 16:31:08,"17,756s",PASSED
