Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Create budget,Firefox 61.0,\u0420\u0435\u0433\u0438\u0441\u0442\u0440\u0430\u0446\u0438\u044F \u0431\u044E\u0434\u0436\u0435\u0442\u0430,2018-08-28 13:28:13,2018-08-28 13:29:11,"58,391s",PASSED
,,,,,,
Test Cases/Base/Create budget,Firefox 61.0,Регистрация бюджета,2018-08-28 13:28:13,2018-08-28 13:29:11,"57,772s",PASSED
callTestCase,Firefox 61.0,Авторизация,2018-08-28 13:28:13,2018-08-28 13:28:29,"15,918s",PASSED
click,Firefox 61.0,"Перейти в меню ""Планирование""",2018-08-28 13:28:29,2018-08-28 13:28:32,"2,516s",PASSED
click,Firefox 61.0,"Нажать на кнопку ""Сформировать бюджет""",2018-08-28 13:28:32,2018-08-28 13:28:32,"0,303s",PASSED
"Statement - new_budgetYear = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(menu_planning/page_year/radio_budgetYear), ""value"", ""equals"", BudgetYear, true)",Firefox 61.0,Изменить год бюджета,2018-08-28 13:28:32,2018-08-28 13:28:32,"0,021s",PASSED
check,Firefox 61.0,Выбрать бюджет,2018-08-28 13:28:32,2018-08-28 13:28:36,"3,593s",PASSED
click,Firefox 61.0,Нажать кнопку подтверждения формирования бюджета,2018-08-28 13:28:36,2018-08-28 13:28:36,"0,284s",PASSED
waitForElementPresent,Firefox 61.0,Проверка доступности кнопки выбора источника финансирования,2018-08-28 13:28:36,2018-08-28 13:28:39,"2,873s",PASSED
click,Firefox 61.0,Раскрыть справочник выбора источника финансирования,2018-08-28 13:28:39,2018-08-28 13:28:39,"0,312s",PASSED
setText,Firefox 61.0,Найти источник финансирования в справочнике,2018-08-28 13:28:39,2018-08-28 13:28:40,"0,743s",PASSED
click,Firefox 61.0,Установить чек на первом найденном значении,2018-08-28 13:28:40,2018-08-28 13:28:40,"0,282s",PASSED
click,Firefox 61.0,Выбрать источник финансирования и закрыть справочник,2018-08-28 13:28:40,2018-08-28 13:28:41,"0,317s",PASSED
click,Firefox 61.0,Раскрыть справочник выбора КБК,2018-08-28 13:28:41,2018-08-28 13:28:41,"0,262s",PASSED
setText,Firefox 61.0,Ввести искомое значение КБК,2018-08-28 13:28:41,2018-08-28 13:28:51,"9,810s",PASSED
click,Firefox 61.0,"Нажать на кнопку ""Найти""",2018-08-28 13:28:51,2018-08-28 13:28:51,"0,253s",PASSED
waitForElementPresent,Firefox 61.0,Проверка наличия чекбокса выбора КБК,2018-08-28 13:28:51,2018-08-28 13:28:55,"4,262s",PASSED
click,Firefox 61.0,Установить чек на первом найденном значении,2018-08-28 13:28:55,2018-08-28 13:28:56,"0,560s",PASSED
click,Firefox 61.0,Выбрать КБК и закрыть справочник,2018-08-28 13:28:56,2018-08-28 13:28:56,"0,334s",PASSED
waitForElementNotPresent,Firefox 61.0,Ожидание: модальный контрол,2018-08-28 13:28:56,2018-08-28 13:28:56,"0,072s",PASSED
waitForElementPresent,Firefox 61.0,Ожидание: модального контрола,2018-08-28 13:28:56,2018-08-28 13:28:57,"0,527s",PASSED
setText,Firefox 61.0,Ввести сумму лимита,2018-08-28 13:28:57,2018-08-28 13:28:57,"0,071s",PASSED
waitForElementPresent,Firefox 61.0,Ожидание перехода маски в определенный статус,2018-08-28 13:28:57,2018-08-28 13:28:57,"0,024s",PASSED
waitForElementNotPresent,Firefox 61.0,"Ожидание недоступности маски, перекрывающей ""Сохранить""",2018-08-28 13:28:57,2018-08-28 13:28:57,"0,019s",PASSED
click,Firefox 61.0,"Нажать кнопку ""Сохранить"" бюджет",2018-08-28 13:28:57,2018-08-28 13:28:57,"0,378s",PASSED
waitForElementPresent,Firefox 61.0,Проверка успешного завершения регистрации бюджета,2018-08-28 13:28:57,2018-08-28 13:29:09,"11,519s",PASSED
