Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Activation,Firefox 61.0,\u0410\u043A\u0442\u0438\u0432\u0430\u0446\u0438\u044F \u0443\u0447\u0435\u0442\u043A\u0438,2018-08-28 13:26:58,2018-08-28 13:27:46,"48,916s",PASSED
,,,,,,
Test Cases/Base/Activation,Firefox 61.0,Активация нового пользователя,2018-08-28 13:26:58,2018-08-28 13:27:46,"48,352s",PASSED
callTestCase,Firefox 61.0,Авторизация администратором,2018-08-28 13:26:58,2018-08-28 13:27:17,"19,206s",PASSED
click,Firefox 61.0,Переход на вкладку администрирования,2018-08-28 13:27:17,2018-08-28 13:27:23,"5,272s",PASSED
click,Firefox 61.0,"Разворачивание списка пользователей для активации
",2018-08-28 13:27:23,2018-08-28 13:27:29,"6,197s",PASSED
setText,Firefox 61.0,В поле поиска пользователей вводится логин пользователя,2018-08-28 13:27:29,2018-08-28 13:27:29,"0,105s",PASSED
sendKeys,Firefox 61.0,Выбор активируемого пользователя,2018-08-28 13:27:29,2018-08-28 13:27:29,"0,069s",PASSED
click,Firefox 61.0,Развернуть список рабочих групп,2018-08-28 13:27:29,2018-08-28 13:27:29,"0,249s",PASSED
click,Firefox 61.0,Выбор рабочей группы,2018-08-28 13:27:29,2018-08-28 13:27:30,"0,265s",PASSED
click,Firefox 61.0,Развернуть список рабочих групп,2018-08-28 13:27:30,2018-08-28 13:27:30,"0,237s",PASSED
click,Firefox 61.0,Выбор рабочей группы,2018-08-28 13:27:30,2018-08-28 13:27:30,"0,256s",PASSED
click,Firefox 61.0,Развернуть список рабочих групп,2018-08-28 13:27:30,2018-08-28 13:27:30,"0,234s",PASSED
click,Firefox 61.0,Выбор рабочей группы,2018-08-28 13:27:30,2018-08-28 13:27:31,"0,249s",PASSED
click,Firefox 61.0,Активация пользователя,2018-08-28 13:27:31,2018-08-28 13:27:36,"5,278s",PASSED
verifyElementPresent,Firefox 61.0,"Проверка успешной активации
",2018-08-28 13:27:36,2018-08-28 13:27:44,"8,299s",PASSED
