Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Create position purchase plan,Firefox 61.0,\u0420\u0435\u0433\u0438\u0441\u0442\u0440\u0430\u0446\u0438\u044F \u043F\u043E\u0437\u0438\u0446\u0438\u0438 \u043F\u043B\u0430\u043D\u0430 \u0437\u0430\u043A\u0443\u043F\u043E\u043A,2018-08-28 13:30:21,2018-08-28 13:34:33,"4m - 12,403s",INCOMPLETE
,,,,,,
Test Cases/Base/Purchase plan/Create position purchase plan,Firefox 61.0,Создать позицию плана закупок,2018-08-28 13:30:21,2018-08-28 13:34:33,"4m - 12,129s",FAILED
callTestCase,Firefox 61.0,Авторизация исполнителем заказчика,2018-08-28 13:30:22,2018-08-28 13:32:06,"1m - 43,928s",PASSED
callTestCase,Firefox 61.0,Открыть план закупок по определенному году,2018-08-28 13:32:06,2018-08-28 13:33:04,"58,291s",PASSED
click,Firefox 61.0,"Нажать на кнопку ""Создать позицию ПЗ""",2018-08-28 13:33:04,2018-08-28 13:33:08,"4,150s",PASSED
click,Firefox 61.0,Раскрыть список выбора Периодичности закупки,2018-08-28 13:33:08,2018-08-28 13:33:09,"0,760s",PASSED
check,Firefox 61.0,Выбрать первую попавшуются периодичность,2018-08-28 13:33:09,2018-08-28 13:33:09,"0,355s",PASSED
click,Firefox 61.0,Завершить выбор периодичности,2018-08-28 13:33:09,2018-08-28 13:33:10,"0,465s",PASSED
click,Firefox 61.0,Раскрыть словарь выбора ОКПД2,2018-08-28 13:33:10,2018-08-28 13:33:10,"0,320s",PASSED
setText,Firefox 61.0,Найти определенный ОКПД2,2018-08-28 13:33:10,2018-08-28 13:33:14,"4,298s",PASSED
check,Firefox 61.0,Выбрать найденный ОКПД2,2018-08-28 13:33:14,2018-08-28 13:33:16,"1,625s",PASSED
click,Firefox 61.0,Завершить выбор ОКПД2,2018-08-28 13:33:16,2018-08-28 13:33:16,"0,305s",PASSED
setText,Firefox 61.0,Ввести наименование закупки,2018-08-28 13:33:16,2018-08-28 13:33:16,"0,066s",PASSED
click,Firefox 61.0,Перейти на вкладку Финансов,2018-08-28 13:33:16,2018-08-28 13:33:17,"0,162s",PASSED
click,Firefox 61.0,Раскрыть список КБК,2018-08-28 13:33:17,2018-08-28 13:33:17,"0,418s",PASSED
check,Firefox 61.0,Установить чек на первом попавшемся КБК,2018-08-28 13:33:17,2018-08-28 13:33:18,"1,070s",PASSED
click,Firefox 61.0,Завершить выбор КБК,2018-08-28 13:33:18,2018-08-28 13:33:18,"0,418s",PASSED
setText,Firefox 61.0,Ввести Сумму финансирования,2018-08-28 13:33:18,2018-08-28 13:33:19,"0,118s",PASSED
click,Firefox 61.0,Перейти на вкладку Обоснования потребности закупки,2018-08-28 13:33:19,2018-08-28 13:33:19,"0,055s",PASSED
click,Firefox 61.0,Раскрыть список с наименованиями государственных программ,2018-08-28 13:33:19,2018-08-28 13:33:19,"0,532s",PASSED
check,Firefox 61.0,Выбрать первое попавшееся в списке значение,2018-08-28 13:33:19,2018-08-28 13:33:19,"0,319s",PASSED
click,Firefox 61.0,Завершить выбор наименования государственной программы,2018-08-28 13:33:19,2018-08-28 13:33:20,"0,485s",PASSED
click,Firefox 61.0,Раскрыть список с наименованиями предприятий,2018-08-28 13:33:20,2018-08-28 13:33:21,"0,554s",PASSED
check,Firefox 61.0,Установить чек напротив первого попавшегося мероприятия,2018-08-28 13:33:21,2018-08-28 13:33:21,"0,323s",PASSED
click,Firefox 61.0,Завершить выбор мероприятия,2018-08-28 13:33:21,2018-08-28 13:33:21,"0,449s",PASSED
click,Firefox 61.0,Перейти на вкладку Обоснования закупки,2018-08-28 13:33:21,2018-08-28 13:33:21,"0,039s",PASSED
setText,Firefox 61.0,"Ввести определнное значение в поле ""Обоснование соответствия объекта""",2018-08-28 13:33:21,2018-08-28 13:33:21,"0,049s",PASSED
click,Firefox 61.0,Сохранить документ,2018-08-28 13:33:21,2018-08-28 13:33:22,"0,563s",PASSED
verifyElementPresent,Firefox 61.0,"Проверить доступность кнопки ""Редактировать"" в качестве подтверждения успешной регистрации документа",2018-08-28 13:33:22,2018-08-28 13:34:31,"1m - 9,373s",FAILED
